# psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,z
2.151549999999999940e+01,2.021281000000000105e+01,1.977706000000000230e+01,1.945796999999999954e+01,1.908810000000000073e+01,1.940422000000000224e+01,1.822397000000000133e+01,1.743299000000000021e+01,1.708902999999999750e+01,1.680043999999999826e+01,1.917250999999999905e+01,1.813951000000000136e+01,1.744673999999999836e+01,1.712029000000000067e+01,1.688714999999999833e+01,9.748160999999999632e-02
1.858826000000000178e+01,1.696847999999999956e+01,1.625792000000000215e+01,1.594420000000000037e+01,1.578708999999999918e+01,1.859016000000000091e+01,1.695932000000000173e+01,1.625542000000000087e+01,1.596340000000000003e+01,1.579507000000000083e+01,1.863410000000000011e+01,1.701576999999999984e+01,1.631089000000000055e+01,1.601833999999999847e+01,1.585467999999999833e+01,-6.046891000000000852e-04
2.159522999999999726e+01,1.997353999999999985e+01,1.879406000000000176e+01,1.820937999999999946e+01,1.779387999999999792e+01,1.988288000000000011e+01,1.799954999999999927e+01,1.678472999999999971e+01,1.623417000000000243e+01,1.578938999999999915e+01,1.961407999999999774e+01,1.831477999999999895e+01,1.700099999999999767e+01,1.652593999999999852e+01,1.618590999999999980e+01,1.594558999999999838e-01
2.236767000000000039e+01,2.100379999999999825e+01,2.068016000000000076e+01,2.051429999999999865e+01,2.019140000000000157e+01,2.242236000000000118e+01,2.096125999999999934e+01,2.063152999999999793e+01,2.047479999999999833e+01,2.014897999999999811e+01,2.226467999999999847e+01,2.088151000000000224e+01,2.069312000000000040e+01,2.064312999999999931e+01,2.002890999999999977e+01,2.510142999999999863e-05
2.278592000000000084e+01,2.275009999999999977e+01,2.108064999999999856e+01,2.003566999999999965e+01,1.961055999999999955e+01,2.211315000000000097e+01,2.190803000000000011e+01,2.031006999999999962e+01,1.921737000000000251e+01,1.868462000000000245e+01,2.284478999999999971e+01,2.225746000000000180e+01,2.040687999999999747e+01,1.944238000000000000e+01,1.883840000000000003e+01,5.362504000000000159e-01
2.334007000000000076e+01,2.133577000000000012e+01,1.968977999999999895e+01,1.911622999999999806e+01,1.865015000000000001e+01,2.214437999999999818e+01,2.001448999999999856e+01,1.825359999999999872e+01,1.762509000000000015e+01,1.724617999999999896e+01,2.119650000000000034e+01,2.004941000000000173e+01,1.830812999999999846e+01,1.763755000000000095e+01,1.751250999999999891e+01,3.578854000000000202e-01
1.857815000000000083e+01,1.750558999999999799e+01,1.702697000000000216e+01,1.681775999999999982e+01,1.671882000000000090e+01,1.858342000000000027e+01,1.749602999999999753e+01,1.703721000000000174e+01,1.682386999999999944e+01,1.671387999999999963e+01,1.866417999999999822e+01,1.752422999999999931e+01,1.707335000000000136e+01,1.687262999999999735e+01,1.679799999999999827e+01,-1.627545999999999952e-04
1.714502000000000237e+01,1.624484999999999957e+01,1.597811000000000092e+01,1.587331000000000003e+01,1.586805000000000021e+01,1.713401999999999958e+01,1.623350999999999900e+01,1.595992000000000033e+01,1.586197999999999908e+01,1.585317000000000043e+01,1.717820000000000036e+01,1.628125000000000000e+01,1.602766000000000091e+01,1.592928999999999995e+01,1.590615000000000023e+01,1.967282000000000048e-05
2.101114000000000104e+01,1.906811000000000078e+01,1.799707000000000079e+01,1.762627999999999773e+01,1.722391000000000005e+01,2.040962999999999994e+01,1.832441000000000031e+01,1.734943999999999775e+01,1.688925000000000054e+01,1.649663999999999930e+01,2.027605000000000146e+01,1.838172000000000139e+01,1.741042999999999807e+01,1.696417999999999893e+01,1.654983000000000004e+01,9.176686000000000565e-02
2.329958999999999847e+01,2.128528999999999982e+01,1.973153999999999897e+01,1.910517000000000110e+01,1.856481000000000137e+01,2.284214000000000055e+01,2.042820000000000036e+01,1.868375999999999948e+01,1.806327000000000282e+01,1.760387000000000057e+01,2.226418999999999926e+01,2.064855000000000018e+01,1.874415000000000120e+01,1.812832000000000221e+01,1.768778999999999968e+01,3.493790999999999980e-01
2.180055000000000121e+01,1.999652000000000029e+01,1.919999999999999929e+01,1.888844999999999885e+01,1.856296000000000035e+01,1.842524999999999835e+01,1.712507000000000090e+01,1.652338999999999913e+01,1.617827000000000126e+01,1.598436000000000057e+01,1.819452000000000069e+01,1.707263000000000019e+01,1.654159999999999897e+01,1.626036000000000215e+01,1.618712999999999980e+01,8.450275999999999621e-02
2.215461000000000169e+01,2.014764999999999873e+01,1.888174000000000063e+01,1.841767999999999716e+01,1.782995999999999981e+01,2.133096000000000103e+01,1.962983999999999796e+01,1.809242000000000061e+01,1.753568999999999889e+01,1.720706000000000202e+01,2.047918999999999912e+01,1.962980999999999909e+01,1.814358999999999966e+01,1.760998999999999981e+01,1.730384000000000100e+01,2.460200999999999916e-01
2.321950000000000003e+01,2.027327000000000012e+01,1.973544000000000054e+01,1.932642999999999844e+01,1.914293999999999940e+01,2.562920000000000087e+01,1.785093999999999781e+01,1.711923999999999779e+01,1.674458999999999875e+01,1.678998999999999953e+01,2.772267000000000081e+01,1.792281000000000191e+01,1.717317000000000249e+01,1.680343999999999838e+01,1.701474999999999937e+01,4.624303999999999915e-02
1.945587000000000089e+01,1.844181999999999988e+01,1.815812999999999988e+01,1.803997999999999990e+01,1.803016000000000219e+01,1.945897000000000077e+01,1.845003999999999778e+01,1.816490999999999900e+01,1.804132000000000247e+01,1.802337999999999951e+01,1.948991000000000184e+01,1.849592999999999776e+01,1.820523999999999987e+01,1.808873999999999782e+01,1.807338000000000022e+01,-5.853583999999999350e-04
2.502427999999999741e+01,2.193262000000000000e+01,2.136039999999999850e+01,2.114610000000000056e+01,2.135246000000000066e+01,2.511552999999999969e+01,2.190967999999999805e+01,2.134837000000000273e+01,2.110797000000000168e+01,2.139056000000000068e+01,2.513006999999999991e+01,2.196660999999999930e+01,2.136662000000000106e+01,2.132563000000000031e+01,2.053892000000000095e+01,-7.693734000000000223e-06
2.495012000000000185e+01,2.030743999999999971e+01,1.899207999999999785e+01,1.833008999999999844e+01,1.798447000000000173e+01,2.495427000000000106e+01,2.032113999999999976e+01,1.899076000000000164e+01,1.832857000000000269e+01,1.798397000000000290e+01,2.575542000000000087e+01,2.036851000000000056e+01,1.906081999999999965e+01,1.839588999999999785e+01,1.803226000000000084e+01,1.530256999999999874e-04
1.756503999999999976e+01,1.654445000000000121e+01,1.619593000000000060e+01,1.608816000000000201e+01,1.603066000000000102e+01,1.755697999999999936e+01,1.652861000000000047e+01,1.619204999999999828e+01,1.606092999999999904e+01,1.603105000000000047e+01,1.760800000000000054e+01,1.659169999999999945e+01,1.624277000000000015e+01,1.611400000000000077e+01,1.609884999999999877e+01,3.247918999999999828e-04
2.150009000000000015e+01,2.005571000000000126e+01,1.951911000000000129e+01,1.944057999999999709e+01,1.896601000000000070e+01,1.914411000000000129e+01,1.784453999999999851e+01,1.730913999999999930e+01,1.702797999999999945e+01,1.687021999999999977e+01,1.882873000000000019e+01,1.783657000000000181e+01,1.734534000000000020e+01,1.705536999999999992e+01,1.690475999999999956e+01,6.538809999999999067e-02
1.938846000000000203e+01,1.819243999999999772e+01,1.827508999999999872e+01,1.841207999999999956e+01,1.852910999999999930e+01,1.939327999999999719e+01,1.818537999999999855e+01,1.826540999999999926e+01,1.839771999999999963e+01,1.854482999999999748e+01,1.946331999999999951e+01,1.824309999999999832e+01,1.832179999999999964e+01,1.845214999999999961e+01,1.875075999999999965e+01,3.332486000000000064e-04
2.104459999999999908e+01,1.991867000000000232e+01,1.952091000000000065e+01,1.930947000000000102e+01,1.908117000000000019e+01,2.102547000000000210e+01,1.989649999999999963e+01,1.948412000000000077e+01,1.928959000000000046e+01,1.907854000000000028e+01,2.111383999999999972e+01,1.993388999999999811e+01,1.952874999999999872e+01,1.937152999999999992e+01,1.918352000000000146e+01,-3.347402999999999772e-04
1.961892999999999887e+01,1.885567999999999955e+01,1.852674000000000021e+01,1.846420000000000172e+01,1.848917000000000144e+01,1.963573999999999842e+01,1.884035000000000082e+01,1.855580000000000140e+01,1.846202000000000254e+01,1.850829999999999842e+01,1.971157000000000181e+01,1.889161999999999964e+01,1.864101000000000141e+01,1.855332000000000292e+01,1.864657000000000053e+01,-9.814324000000001005e-04
2.072376000000000218e+01,1.896141000000000076e+01,1.838804000000000016e+01,1.804994999999999905e+01,1.753016000000000219e+01,1.875557999999999836e+01,1.708751000000000175e+01,1.626640000000000086e+01,1.587429000000000023e+01,1.557549000000000028e+01,1.848488000000000042e+01,1.716821000000000197e+01,1.638290999999999897e+01,1.597621000000000002e+01,1.569532999999999845e+01,7.803417999999999466e-02
2.111636999999999986e+01,2.035850999999999900e+01,2.032167999999999708e+01,2.019392000000000209e+01,1.998335000000000150e+01,2.110777000000000214e+01,2.032443999999999917e+01,2.029882999999999882e+01,2.017641000000000062e+01,1.996406999999999954e+01,2.103590000000000160e+01,2.033767000000000280e+01,2.034067000000000291e+01,2.026797000000000182e+01,2.008117000000000019e+01,2.319856999999999836e+00
1.965110999999999919e+01,1.859943999999999775e+01,1.863722000000000278e+01,1.870993999999999957e+01,1.882988999999999891e+01,1.968430999999999997e+01,1.858217999999999748e+01,1.863231999999999999e+01,1.872203999999999979e+01,1.884192000000000178e+01,1.974560999999999922e+01,1.863286000000000087e+01,1.868977999999999895e+01,1.879670000000000130e+01,1.885196000000000183e+01,-1.652731000000000219e-04
